"S. No","Project Registration No.","Name and Address of the Promoter","Project Details and Address","Approval Details","Project Completion Date","Other Details","Form-c","Current Status of the Project"
"236","TNRERA/35/BLG/0236/2026                                 dated 22-07-2026","ARUN EXCELLO HOMES PRIVATE LIMITED, Bhattad Tower, No. 18, West Cott Road, Royapettah, Chennai, Chennai, Tamil Nadu-600014.","Project Name: ZIVA MOHANAMRegistration for Ground floor-Block-1(1 to 16), Block-2(17 to 32) Total 32 units, Comprised in  Survey No. 220/6 and 221/14A1A2 of Perumaleri Village, Thirukazhukundram Taluk, Chengalpattu District.","The Assistant Director, DTCP, Chengalpattu issued planning permission in P.P.No.SWP/BP/MLPA(CD-5) No.48/2026 vide Letter No. SWP/BPA/683401/2025  Dated 30/05/2026. The  President, Vadakadambadi Panchayat issued building permission in Letter No. 001-2026-2027, Dated 19/06/2026.","31.12.2031","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12.37084;Longitude-80.09305;","",""
"237","TNRERA/35/BLG/0237/2026                                 dated 22-07-2026","M/S.DAC DEVELOPERS PRIVATE LIMITED (Developer), Vasantha, Deenadayalan, Babu, Revathi, Parthiban, Velu (Land Owners), Flat No. A-1, Ground Floor, No.19, K-Block, 1st Main Road, 1st Avenue, Anna Nagar East, Chennai, Tamil Nadu-600102.","Project Name: RHYTHM BY DAC (VILLAS)Registration for Villa No.1 with Stilt + 3 Floors and Villa 2 to 17 with Ground + 1st Floor with 17 dwelling units , comprised in Survey Nos. 568/3B2, 568/4A1 & 568/4A2 of Madambakkam Village, Tambaram Taluk, Chengalpattu District.","TAMBARAM CORPORATION issued Building Permission for Villa No. 01 in Letter No. 009/BL/2026/05/070/00596 Dt. 29.05.2026, Villa No. 02 in Letter No. SWP/SCM/CMDA/CMA/0443173/2026 Dt. 29.05.2026, Villa No. 03 in Letter No. SWP/SCM/CMDA/CMA/0443186/2026 Dt. 29.05.2026, Villa No. 04 in Letter No. SWP/SCM/CMDA/CMA/0443330/2026 Dt. 29.05.2026, Villa No. 05 in Letter No. SWP/SCM/CMDA/CMA/0443339/2026 Dt. 29.05.2026, Villa No. 06 in Letter No. SWP/SCM/CMDA/CMA/0443346/2026 Dt. 29.05.2026, Villa No. 07 in Letter No. SWP/SCM/CMDA/CMA/0443365/2026 Dt. 29.05.2026, Villa No. 08 in Letter No. SWP/SCM/CMDA/CMA/0443383/2026 Dt. 29.05.2026, Villa No. 09 in Letter No.SWP/SCM/CMDA/CMA/0443396/2026 Dt. 29.05.2026, Villa No. 10 in Letter No. SWP/SCM/CMDA/CMA/0443416/2026 Dt. 29.05.2026, Villa No. 11 in Letter No. SWP/SCM/CMDA/CMA/0443443/2026 Dt. 30.05.2026, Villa No. 12 in Letter No. SWP/SCM/CMDA/CMA/0443696/2026 Dt. 30.05.2026 , Villa No. 13 in Letter No. SWP/SCM/CMDA/CMA/0443704/2026 Dt. 30.05.2026, Villa No. 14 in Letter No. SWP/SCM/CMDA/CMA/0443712/2026 Dt. 30.05.2026, Villa No. 15 in Letter No. SWP/SCM/CMDA/CMA/0443719/2026 Dt. 30.05.2026, Villa No. 16 in Letter No. SWP/SCM/CMDA/CMA/0443755/2026 Dt. 30.05.2026, Villa No. 17 in Letter No. SWP/SCM/CMDA/CMA/0443790/2026 Dt. 30.05.2026.","30.06.2031","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12.893177;Longitude-12.893177;","",""
"238","TNRERA/35/BLG/0238/2026                                 dated 22-07-2026","ARUN EXCELLO HOMES PRIVATE LIMITED, Door No.18, Bhattad Tower, West Cott Road, Royapettah, Chennai, Tamil Nadu-600014.","Project Name: ZIVA BHAIRAVI BLOCK 1Registration for Stilt Floor + 5 Floors with 90 Dwelling Units comprised in Survey No. 229/1 of Perumaleri Village, Thirukazhukundram Taluk, Chengalpattu District.","The Assistant Director, T&CP, Chengalpattu District, issued Planning Permission No.50/2026 in Letter No. SWP/BPA/763685/2026  Dated 02/06/2026. The President, Vadakadambadi Vilage Panchayat  issued Building Permission in Letter No. ROC No. 002-2026-2027, Dated 18/06/2026.","31.12.2031","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12.36590;Longitude-80.09252;","",""
"239","TNRERA/35/BLG/0239/2026                                 dated 22-07-2026","M/s.RADIANCE REALTY DEVELOPERS INDIA LTD, Door No.Old Door No.110, New Door No.111, 1st Floor, 33 Feet Road, Anna Salai, Guindy Village , Chennai, Tamil Nadu-600032.","Project Name: RADIANCE EDGEWOODRegistration for Block : 1 to 4 with GF + 2F with 34 dwelling units, Block : 5 to 7 with GF + 1F with 24 dwelling units, Block : 9 to 11 with GF + 1F with 18 dwelling units, Block : 12 & 14 with GF + 2F with 7 dwelling units, Block : 15 Club House / Assembly with GF + 2F, Block : 16 (Drivers Toilet, STP Pump Room, Security Booth, Pump Room (Swimming Pool) Totally 83 Dwelling units at comprised in Survey No. 220/2A of Siruseri Village and Panchayat, Thiruporur Panchayat Union, Vandalur Taluk, Chengalpattu District.","The Assistant Director, T&CP, Chengalpattu District issued Planning Permission No.SWP/B.P/M.L.P.A(CD-5)No. 57/2026 in Letter No.SWP/BPA/ 786243/2026 dated 22/06/2026. The President, Siruseri Village Panchayat issued Building Permission in Letter Roc No.07/2026-2027 dated 04/07/2026.","21.06.2031","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12.842051;Longitude-80.202289;","",""
"240","TNRERA/29/BLG/0240/2026                                 dated 22-07-2026","CHAITANYA FOUNDATIONS PVT LTD, Door No.39, “BANYAN VIEW”, 3rd FLOOR,  KARPAGAM GARDENS, 1st  MAIN ROAD, ADYAR, Chennai, Tamil Nadu-600020.                                                                        SOUDHAMINI KANDIAH, Door No.39, “BANYAN VIEW”, 3rd FLOOR,  KARPAGAM GARDENS, 1st  MAIN ROAD, ADYAR, Chennai, Tamil Nadu-600020.                                                                        ANANDHI SABESAN, Door No.39, “BANYAN VIEW”, 3rd FLOOR,  KARPAGAM GARDENS, 1st  MAIN ROAD, ADYAR, Chennai, Tamil Nadu-600020.                                                                        MURUGAN, Door No.39, “BANYAN VIEW”, 3rd FLOOR,  KARPAGAM GARDENS, 1st  MAIN ROAD, ADYAR, Chennai, Tamil Nadu-600020.","Project Name: SHRAVANRegistration for Stilt floor + 8 Floors with 16 Dwelling Units availing Premium FSI with TOD benefit at Landons road, Comprised in Old Door No.37/1, 2, 3, 4 & 5, New Door No 74, 76, 78, 80 & 82,  Kilapuk,  Chennai-600010, Comprised in Old S.No 272 & R.S.No 154 part as per Document, New R.S. No 154/32, 154/226, 154/227 & 154/228 as per Patta, Block No.13, Egmore village within the limit of Greater Chennai Corporation, Chennai District.","CMDA issued Planning Permission No. OL-PP/HRB/0010/2026 in Letter No.CMDA/PP/HRB/N/0573/2025, Dated 20/03/2026. GREATER CHENNAI CORPORATION issued Building Permission in Letter No. CEBA/WDCN08/00151/2026, Dated 10/04/2026.","30.12.2030","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-13.08028;Longitude-80.239299;","",""
"241","TNRERA/29/BLG/0241/2026                                 dated 22-07-2026","M/S.ADITYARAM HOUSING PRIVATE LIMITED, Door No.50, East Coast Road, Adityaram Nagar, Panayur, Chennai, Tamil Nadu-600119.                                                                        M/S ADITYARAM INFRASTRUCTURE PROJECTS LLP, Door No.50, East Coast Road, Adityaram Nagar, Panayur, Chennai, Tamil Nadu-600011.                                                                        M/S FLOURISHING VENTURES PRIVATE LIMITED, Door No.50, East Coast Road, Adityaram Nagar, Panayur, Chennai, Tamil Nadu-600011.                                                                        ARYA, Door No.50, East Coast Road, Adityaram Nagar, Panayur, Chennai, Tamil Nadu-600119.","Project Name: ADITYARAM PALACE CITY PARADISERegistration for Ground Floor + 1 Floor with 54 Dwelling Units comprised in Survey No. 117/1pt, 117/2, 118/2A1, 118/2A2, 118/2B, 118/2C, 119, 120/1A, 120/1B, 120/1C, 120/2A, 120/2B, 121/1, 121/2, 121/3, 122/1, 122/2, 122/4, 123/1, 123/2, 123/3A, 123/3B, 124/1, 124/3A2, 135/2A, Sholinganallur Village, Chennai District.","Greater Chennai Corporation issued Planning Permission in Letter No. PPA/WDCN15/08259/2025 Dt 19.12.2025, PPA/WDCN15/06976/2025 Dt  15.10.2025,  PPA/WDCN15/06974/2025 Dt 15.10.2025, PPA/WDCN15/06652/2025 Dt 13.10.2025, PPA/WDCN15/08264/2025 Dt 19.12.2025, PPA/WDCN15/02304/2026 Dt 06/05/2026, PPA/WDCN15/06644/2025 Dt  13.10.2025, PPA/WDCN15/03962/2023 Dt 08.05.2023, PPA/WDCN15/03961/2023 Dt 11.05.2023, PPA/WDCN15/03947/2023 Dt 11.05.2023, PPA/WDCN15/03959/2023 Dt 10.05.2023, PPA/WDCN15/03968/2023 Dt 10.05.2023, PPA/WDCN15/03957/2023 Dt 10.05.2023, PPA/WDCN15/03960/2023 Dt 10.05.2023, PPA/WDCN15/02297/2026 Dt 06.05.2025, PPA/WDCN15/03952/2023 Dt 11.05.2023, PPA/WDCN15/03954/2023 Dt 08.05.2023, PPA/WDCN15/03940/2023 Dt 10.05.2023, PPA/WDCN15/03941/2023 Dt 10.05.2023, PPA/WDCN15/03942/2023 Dt 10.05.2023, PPA/WDCN15/03944/2023 Dt 11.05.2023, PPA/WDCN15/03945/2023 Dt 11.05.2023, PPA/WDCN15/03948/2023 Dt 11.05.2023, PPA/WDCN15/03956/2023 2023 Dt 08.05.2023, PPA/WDCN15/06608/2025 Dt 13.10.2025, PPA/WDCN15/03451/2023 Dt 20.04.2023, PPA/WDCN15/03452/2023 Dt 20.04.2023, PPA/WDCN15/03943/2023 Dt 11.05.2023, PPA/WDCN15/03946/2023 Dt 10.05.2023, PPA/WDCN15/03991/2023 Dt 11.05.2023, PPA/WDCN15/03953/2023 Dt 08.05.2023, PPA/WDCN15/03327/2023 Dt 19.04.2023, PPA/WDCN15/03328/2023 Dt 19.04.2023, PPA/WDCN15/03329/2023 Dt 19.04.2023, PPA/WDCN15/03330/2023  Dt 19.04.2023, PPA/WDCN15/03958/2023 Dt 08.05.2023, PPA/WDCN15/03964/2023 Dt 08.05.2023, PPA/WDCN15/03973/2023 Dt 08.05.2023, PPA/WDCN15/03312/2023 Dt 19.04.2023, PPA/WDCN15/03313/2023 Dt  19.04.2023, PPA/WDCN15/03314/2023 Dt 19.04.2023, PPA/WDCN15/03315/2023 Dt 19.04.2023, PPA/WDCN15/03316/2023 Dt 19.04.2023, PPA/WDCN15/03317/2023 Dt 19.04.2023, PPA/WDCN15/03318/2023 Dt 19.04.2023, PPA/WDCN15/06975/2025 Dt 15.10.2025, PPA/WDCN15/03319/2023 Dt 19.04.2023, PPA/WDCN15/03321/2023 Dt 19.04.2023, PPA/WDCN15/03322/2023 Dt 19.04.2023, PPA/WDCN15/03323/2023 Dt 19.04.2023, PPA/WDCN15/03324/2023 Dt 19.04.2023, PPA/WDCN15/03325/2023 Dt 19.04.2023, PPA/WDCN15/03326/2023 Dt 19.04.2023, PPA/WDCN15/06977/2025 Dt 15.10.2025. Greater Chennai Corporation issued Building Permission in Letter No. BA/WDCN15/09570/2025 Dt 19.12.2025, BA/WDCN15/07653/2025 Dt 15.10.2025, BA/WDCN15/07654/2025 Dt 15.10.2025, BA/WDCN15/07370/2025 Dt 13.10.2025, BA/WDCN15/09565/2025 Dt 19.12.2025, BA/WDCN15/03139/2026 Dt 06/05/2026, BA/WDCN15/07371/2025 Dt  13.10.2025, BA/WDCN15/03147/2023 Dt 08.05.2023, BA/WDCN15/03168/2023 Dt 11.05.2023, BA/WDCN15/03175/2023 Dt 11.05.2023, BA/WDCN15/03158/2023 Dt 10.05.2023, BA/WDCN15/03142/2023 Dt 10.05.2023, BA/WDCN15/03139/2023 Dt 10.05.2023, BA/WDCN15/03140/2023 Dt 10.05.2023, BA/WDCN15/03140/2026 Dt 06.05.2025, BA/WDCN15/03162/2023 Dt 11.05.2023, BA/WDCN15/03144/2023 Dt 08.05.2023, BA/WDCN15/03163/2023 Dt 10.05.2023, BA/WDCN15/03156/2023 Dt 10.05.2023, BA/WDCN15/03157/2023 Dt 10.05.2023, BA/WDCN15/03159/2023 Dt 11.05.2023, BA/WDCN15/03160/2023 Dt 11.05.2023, BA/WDCN15/03161/2023 Dt 11.05.2023, BA/WDCN15/03145/2023 Dt 08.05.2023, BA/WDCN15/07374/2025 Dt 13.10.2025, BA/WDCN15/02727/2023 Dt 20.04.2023, BA/WDCN15/02728/2023 Dt 20.04.2023, BA/WDCN15/03150/2023 Dt 11.05.2023, BA/WDCN15/03151/2023 Dt 10.05.2023, BA/WDCN15/03152/2023 Dt 11.05.2023, BA/WDCN15/03153/2023 Dt 08.05.2023, BA/WDCN15/02694/2023 Dt 19.04.2023, BA/WDCN15/02698/2023 Dt 19.04.2023, BA/WDCN15/02692/2023 Dt 19.04.2023, BA/WDCN15/02709/2023 Dt 19.04.2023, BA/WDCN15/03146/2023 Dt 08.05.2023, BA/WDCN15/03141/2023 Dt 08.05.2023, BA/WDCN15/03155/2023 Dt 08.05.2023, BA/WDCN15/02697/2023 Dt 19.04.2023, BA/WDCN15/02704/2023 Dt  19.04.2023, BA/WDCN15/02703/2023 Dt 19.04.2023, BA/WDCN15/02702/2023 Dt 19.04.2023, BA/WDCN15/02701/2023 Dt 19.04.2023, BA/WDCN15/02700/2023 Dt 19.04.2023, BA/WDCN15/02699/2023 Dt 19.04.2023, BA/WDCN15/07652/2025 Dt 15.10.2025, BA/WDCN15/02693/2023 Dt 19.04.2023, BA/WDCN15/02695/2023 Dt 19.04.2023, BA/WDCN15/02708/2023 Dt 19.04.2023, BA/WDCN15/02706/2023 Dt 19.04.2023, BA/WDCN15/02705/2023 Dt 19.04.2023, BA/WDCN15/02696/2023 Dt 19.04.2023, BA/WDCN15/02707/2023 Dt 19.04.2023, BA/WDCN15/07651/2025 Dt 15.10.2025.","18.04.2028","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-125334.2;Longitude-801435.2;","",""
"242","TNRERA/29/BLG/0242/2026                                 dated 22-07-2026","Indira Foundations Private Limited, Door No.19, Govinthan Street, Ayyavoo colony, Aminjikarai Village , Chennai, Taluk.Aminjikarai, Chennai, Tamil Nadu-600029.","Project Name: AVELLONRegistration for Proposed Construction of a Stilt Floor + 1st Floor part to 5th Floor part Residential Building (Height- 18.30m with Gym, Indoor Games and Association room at 1st Floor level) with 58 Dwelling Units comprised in S.No.123/1A2A (as per document) and S.No.123/1A2A2 (as per patta) of Nolambur village, Maduravoyal Taluk within the limits of Greater Chennai corporation, Chennai District.","CMDA issued Planning Permission No. OL-PP/NHRB/0070/2026 in letter no. CMDA/PP/NHRB/C/0870/2025 dated 16/02/2026.CMDA issued Amendment letter No:PP/NHRB/C/0870/2025 dated 30/06/2026.Greater Chennai Corporation, issued building Permission letter no. CEBA/WDCN11/00102/2026 dated 09/03/2026.","31.12.2030","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-13.073309;Longitude-80.172099;","",""
"243","TNRERA/11/BLG/0243/2026                                 dated 22-07-2026","SHRI ANEKAS VENTURES LLP and Land Owner S HEMAMALINI, New No.87, Old No.51, Periyasamy Samy Road West, R S Puram, Coimbatore – 641002, COIMBATORE, Coimbatore, Tamil Nadu-641002.","Project Name: DivinityStilt Floor +2766.45 Floors with 10, 6 T.S No. 318/3, 330, 331/2,dwelling units at comprised in Block No. 9,R S Puram Village, Coimbatore South Taluk Taluk, Coimbatore District.","DTCP issued planning permission in Letter No. ONLINE APPLICATION No. -SWP / BPA / 813726 / 2026, SWP / SITE APPROVAL / DTCP / LP / C.L.P.A No. 270/2026, SWP / DTCP / PLANNING PERMISSION No. 347/2026, Dated 30/04/2026. Coimbatore Corporation issued building permission in Letter No. Online Application No. : 162/CP/26-27/0045867, B.A No : 162/BPA/2026/00848 B.L No : 162/BL/2026/03/071/00887 Dated – 12.06.2026, Dated 12/06/2026.","31.12.2028","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-11.010894;Longitude-76.945361;","",""
"244","TNRERA/35/BLG/0244/2026                                 dated 22-07-2026","M/s.Aura Promoters  managing partners Nishanth, Door No.3, HIG MGR SALAI, NH-1 MARAIMALAI NAGAR, Chengalpattu - 603203, Chengalpattu, Tamil Nadu-","Project Name: Archana FlatsRegistration for Residential Building Stilt Floor + 1st floor (Electrical room and common area), 2nd Floor (Store room and common area), 3rd floor (Meeting room and common area), 4th floor (Amenity Room and common area), 5th floor (common area and head room) with 24 dwelling units at plot no. 1 & 2, Already approved layout no. 50/2004 comprised in S.No. 60/2A1B at Ninnaikarai Village, Chengalpet Taluk, Chengalpattu District.","The Assistant Director, DTCP, Chengalpattu District issued planning permission no. 126/2025 in Online Application No.SWP/ BPA/675783/2025 dated 10/12/2025. The Commissioner, Maraimalai Nagar Municipality issued Building license no. 020/BL/2026/00023 in Permission No.020/BPA/2025/00194 dated 16/03/2026.","31.12.2030","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12.48241;Longitude-80.02221;","",""
"245","TNRERA/35/BLG/0245/2026                                 dated 24-07-2026","M/s.ARA Construction, NO: 31, KAVERI STREET, LOGLAYA COLONY, 2nd MAIN ROAD, SALIGRAMAM, CHENNAI - 600093, Chennai - 600093, Chennai, Tamil Nadu-","Project Name: ARA VINESH ENCLAVERegistration for revised Planning Permission for the construction of Group Housing Development with 2 Blocks; Block A – Stilt Floor + 5 Floors (Height 18.30 m) Residential Building with 25 dwellingunits; Block B – Stilt Floor + 5 Floors (Height 18.30 m) Residential Building with 30 dwelling units; Totally 55 Dwelling Units availing Premium FSI at T Ponnambalam Salai & Goodwill Avenue 4th Main Road, Kulapakkam, Kancheepuram District.","CMDA issued Planning Permission No. OL-PP/NHRB/0139/2026 in Lr No. CMDA/PP/NHRB/C/0338/2025 dated 24/03/2026. The Executive officer/the President, Kolapakkam Village Panchayat issued building permission in Lr No. 01/2026-2027 dated 25/05/2026.","30.04.2027","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-13.013827;Longitude-80.148746;","","(This Registration revises the earlier Registration given in Registration No.TN/29/Building/0326/2024 dated 04-04-2024)"
"246","TNRERA/3/BLG/0246/2026                                 dated 24-07-2026","R.L.Jayavenkataraman, Door No.307, 3rd floor pearl tower, Gandhi Nagar , Kurinjipadi, Cuddalore, Tamil Nadu-607  308.","Project Name: JAYALAKSHMI APARTMENTSRegistration for Stilt Floor + 5 Floors residential building with 20 dwelling units in Plot No. 'U' in approved  Millinium Garden  Layout No. 316/2018, comprising in S.Nos. 495/34 , 495/34A , 495/46 , 495/46A  of  Vadakuthu  Village , Kurinjipadi  Taluk , Cuddalore District.","The Assistant Director , T&CP ,  Cuddalore District  has issued planning permission  vide letter No. SWP/BPA/671382/2025 dated 17.12.2025. The President , Kurinjipadi  Block Panchayat  has issued building permission vide letter No. 17-2025-26 dated 22.12.2025","31.12.2029","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-11.625198;Longitude-79.551704;","",""
"247","TNRERA/29/BLG/0247/2026                                 dated 24-07-2026","M/s.ASHWIN APARTMENTS (OPC) PRIVATE LIMITED, NO.34/38,3RD MAIN ROAD,R.A.PURAM, CHENNAI, Chennai, Tamil Nadu-600028.                                                                        V G VARADARAJAN, NO.20/13,AGASTYAR MANOR,FLAT NO.2B,2ND FLOOR,RAJA STREET,T.NAGAR, CHENNAI, Chennai, Tamil Nadu-600017.","Project Name: ""SRI KRISHNA CHARANAM""Registration for Stilt Floor(parking) + 5 Floors residential Building with 14 dwelling units Availing Premium FSI at PlotNo:36, Old Door No.6 & 6/1, New Door No.11 & 11/1, Jagadambal Street, T. Nagar, Chennai District Comprised in T.S.Nos.7100/1 & 7100/2, Block No.115, of T. Nagar Village  Chennai District."," CMDA, Planning Permission No. OL-PP/NHRB/0105/2026 issued in letter No. CMDA/PP/NHRB/C/1040/2025 dated 06/03/2026.  The Greater Chennai Corporation, issued Building Permission No.CEBA/WDCN10/00110/2026 dated 11/03/2026.","09.06.2029","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-13.042843;Longitude-80.240126;","",""
"248","TNRERA/11/BLG/0248/2026                                 dated 24-07-2026","Promag Foundations and Structures Private Limited, F-1, First Floor, Srivari Kikani Centre,, No. 2 Krishnaswamy Road, Coimbatore, Tamil Nadu-641002.                                                                        SGK Investment Trust, Door No.855, 13th Main 3rd Block, 4th A Cross, Koramangala, Bangaluru, Bangalore Rural, Karnataka-560095.","Project Name: PROMAG ARANYARegistration for Revised and additional proposed construction of Residential Group development building of A2 with Ground + 2 Floors, A3 with Ground + 2 Floors, A4 Ground + 2 Floors, A5 with Ground + 2 Floors, A6 with Ground + 1 Floor, A7 with Ground + 2 Floors,  A1 with Ground + 2 Floors, B1 with Ground + 2 Floors, B2 with Ground + 2 Floors, B3 with Ground + 1st Floor, B4 with Ground + 2 Floors, B5 with Ground + 1 Floor, B6 with Ground + 2 Floor, B7 with Ground + 2 Floor, B7A with Ground + 2 Floor, B9 with Ground + 1 Floor, A7B with Ground + 2 Floors, A9 with Ground + 2 Floors with 18 Dwelling Units comprised in Survey No. 514/1A1, 518/2B, 519/2B of Vadavalli Village, Perur Taluk, Coimbatore District.","The Joint Director, T&CP, Coimbatore, issued Planning Permission No.202/2026 in Application No. SWP/BPA/728434/2026, Dated 07/03/2026. The Commissioner, Coimbatore City Municipal Corporation issued Building Permission in Letter No. 162/BL/2026/03/038/00640, Dated 06/05/2026.","05.05.2031","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-11.023727;Longitude-76.879127;","",""
"249","TNRERA/29/BLG/0249/2026                                 dated 24-07-2026","M/s.SAARKAY DEVELOPERS PRIVATE LIMITED, Flat No.2, Plot No.89, SHIVA RAJDHANI COMPLEX, KASI ESTATE 2ND STREET, JAWAHARLAL NEHRU ROAD, JAFFERKHANPET Village , Chennai, Tamil Nadu-                                                                       M/s.FIRSTFOCUS BUSINESS SOLUTIONS PRIVATE LIMITED, Flat No.1 AND 2, 4TH FLOOR, THE LORDS, NORTHERN EXTENSION AREA, THIRU VI KA INDUSTRIAL ESTATE, EKKATUTHANGAL Village , Chennai, Tamil Nadu-","Project Name: HARMONYRegistration for Stilt floor + 5 floors (Height – 18.30m) Residential with 14 dwelling units at Plot No.142, Defence Colony 11th Cross Street, Defence Colony, Nandambakkam, Chennai comprised in Old S.No.163/2, New S.No.163/2C of Nandambakkam Village, Chennai District.","CMDA issued Planning Permission No. OL-PP/NHRB/0163/2026 in Lr No. CMDA/PP/NHRB/S/0106/2026 dated 09.04.2026. Greater Chennai Corporation issued building permission in Lr No. CEBA/WDCN12/00180/2026 dated 07.05.2026.","06.05.2031","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-13.024545;Longitude-80.201133;","",""
"250","TNRERA/29/BLG/0250/2026                                 dated 27-07-2026","R.K.ESTATES (GPA), Door No.NO.9/53, 5TH MAIN ROAD, NATESAN NAGAR, VIRUGAMBAKKAM, Chennai, Tamil Nadu-600092.","Project Name: MARUTHAM AVANA BLOCK - BRegistration for Stilt Floor + 2 Floors + 3rd Floor Part (Height 12.80 m) Residential Building with 14 dwelling units & Gym at 3rd Floor at Plot No: B, (GCC Approved Subdivision), St. Mary’s Street, Athipattu, Chennai - 600 058 comprised in Old S. No:520/4 and T.S. No:25/ 2, Block No: 4, Ward No: G of Athipattu village, Ambattur Taluk, Chennai District.","CMDA issued planning permission in OL-PP/NHRB/0177/2026 vide letter No. CMDA/PP/NHRB/N/0121/2026 dated 28/04/2026. GCC issued building permission in Letter No. CEBA/WDCN07/00222/2026 dated 04/06/2026.","30.09.2028","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-13.094881;Longitude-80.150567;","",""
"251","TNRERA/29/BLG/0251/2026                                 dated 27-07-2026","VENCER HOMES & K.Revathi, Selvam A, Kavitha S & Hemalatha S, 137/8, 2ND AVENUE, AC BLOCK, ANNANAGAR, Chennai, Tamil Nadu-600040.                                                                        Revathi, 17, Amuthapadi Street, Kanchipuram, Kancheepuram, Tamil Nadu-631501.                                                                        Selvam, 17, Amuthapadi Street, Kanchipuram, Kancheepuram, Tamil Nadu-631501.                                                                        Kavitha, 17, Amuthapadi Street, Kanchipuram, Kancheepuram, Tamil Nadu-631501.                                                                        Hemalatha, 17, Amuthapadi Street, Kanchipuram, Kancheepuram, Tamil Nadu-631501.","Project Name: VENCER ALTARARegistration for Stilt Floor + 4 Floors + 5th Floor (part) Residential building (Height -18.30m) with 19 dwelling units Availing Premium FSI with TOD Benefit at Plot No. E1 & E2, Arcot Road, Madhuravoyal, Comprised in S.No. 449/1B2A & 449/1B2B (as per patta) of Madhuravoyal Village within the limits of Greater Chennai Corporation,Chennai District.","CMDA issued planning permission in P.P.No.0124/2026 vide  Letter No. OL-PP/NHRB/0124/2026, Dated 12-03-2026. Greater Chennai Corporation issued building permission in Letter No. CEBA/WDCN11/00143/2026, Dated 07/04/2026.","31.12.2028","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-13.03969;Longitude-80.16515;","",""
"252","TNRERA/35/BLG/0252/2026                                 dated 28-07-2026","M/s.ROYAL LAND & DEVELOPERS PRIVATE LIMITED Rep by its Director Thiru.B.Vikaram Kumar Bagmar, Door No.Old No.23,New No.6, Western Wing, First Floor, Krishnama Road,, Nungambakkam, Chennai, Tamil Nadu-600034.","Project Name: RLD ALTIMARegistration for Revision and Additional High Rise Residential Building; Combined  Basement 1 & 2; Block 1 - Tower A : Ground Floor + 1st Floor + 35th Floors with 315 Dwelling Units (Revision to already approved) and Block 1 - Tower B: Ground Floor + 1st Floor + 35th Floors with 315 Dwelling Unit; Totally 630 Dwelling Units; Block 2 - (Club House): Ground Floor + 1st Floor; Block 3 - ( Security-1): Ground Floor; Block 4 - (Security-2): Ground Floor, comprised in S.No.585/1A2A1, 586/1A, 2A, 2B, 2C, 587, 595/1B1A, 596/1A and 598/1 of Padur Village, Thiruporur Taluk, Chengalpattu District.","The Assistant Director, T&CP, Chengalpattu District issued planning permission in Letter No.SWP/BPA/582354/2025 dated 11/11/2025. The Executive Officer, Padur Village Panchayat, Thiruporur Block Panchayat, Chengalpattu District issued building permission in Letter No.55 dated 09/01/2026.","01.04.2031","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12.79345;Longitude-80.21784;","",""
"253","TNRERA/16/BLG/0253/2026                                 dated 31-07-2026","ARUN CONSTRUCTIONS, Plot No.23, M.R.R.NAGAR,NO.1.TOLGATE, BIKSHANDAR KOVIL, MANACHANALUR, Tiruchirappalli, Tamil Nadu-621216.","Project Name: ARUN GRANDERegistration for Stilt Floor + 5 Floors with 15 Dwelling Units comprised in Survey No. 56/2B9A1 of Bikshandarkovil Village, Manachanallur Taluk, Tiruchirappalli District.","The Joint Director, T&CP,Tiruchirappalli District issued Planning Permission No. 69/2026 in Letter ROC No. SWP/BPA/814089/2026, Dated 27/04/2026. The President, Bikshandarkovil Village Panchayat, issued Building Permission in Letter ROC No. 06, Dated 13/05/2026.","31.12.2028","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-10.874921;Longitude-78.710669;","",""
